season,match_id,match_date,kick_off,stage,stage_display,is_knockout,team_a,team_b,team_a_group,team_b_group,team_a_manager,team_b_manager,team_a_country,team_b_country,team_a_score,team_b_score,scoreline_90m,target_result_90m,stadium,host_country,referee
2018,7581,2018-07-01,18:00:00.000,round_of_16,Round of 16,1,Croatia,Denmark,,,Zlatko Dalić,Åge Hareide,Croatia,Denmark,1,1,1-1,1,Stadion Nizhny Novgorod (Nizhniy Novgorod),Russia,Néstor Fabián Pitana
2018,7583,2018-07-02,14:00:00.000,round_of_16,Round of 16,1,Brazil,Mexico,,,Tite,Juan Carlos Osorio,Brazil,Mexico,2,0,2-0,0,Solidarnost Arena,Russia,Gianluca Rocchi
2018,7584,2018-07-02,18:00:00.000,round_of_16,Round of 16,1,Belgium,Japan,,,Roberto Martínez,Akira Nishino,Belgium,Japan,3,2,3-2,0,Rostov Arena,Russia,Malang Diedhiou
2018,7586,2018-07-03,14:00:00.000,round_of_16,Round of 16,1,Sweden,Switzerland,,,Jan Olof Andersson,Vladimir Petković,Sweden,Switzerland,1,0,1-0,0,Saint-Petersburg Stadium ( Gazprom Arena ),Russia,Damir Skomina
2018,7585,2018-07-03,18:00:00.000,round_of_16,Round of 16,1,Colombia,England,,,José Pékerman,Gareth Southgate,Colombia,England,1,1,1-1,1,Otkritie Bank Arena,Russia,Mark Geiger
2018,8649,2018-07-06,14:00:00.000,quarterfinal,Quarter-finals,1,Uruguay,France,,,Óscar Tabárez,Didier Deschamps,Uruguay,France,0,2,0-2,2,Stadion Nizhny Novgorod (Nizhniy Novgorod),Russia,Néstor Fabián Pitana
2018,8650,2018-07-06,18:00:00.000,quarterfinal,Quarter-finals,1,Brazil,Belgium,,,Tite,Roberto Martínez,Brazil,Belgium,1,2,1-2,2,Ak Bars Arena,Russia,Milorad Mažić
2018,8651,2018-07-07,14:00:00.000,quarterfinal,Quarter-finals,1,Sweden,England,,,Jan Olof Andersson,Gareth Southgate,Sweden,England,0,2,0-2,2,Solidarnost Arena,Russia,Björn Kuipers
2018,8652,2018-07-07,18:00:00.000,quarterfinal,Quarter-finals,1,Russia,Croatia,,,Stanislav Cherchesov,Zlatko Dalić,Russia,Croatia,2,2,2-2,1,Olimpiyskiy Stadion Fisht,Russia,Sandro Ricci
2018,8655,2018-07-10,18:00:00.000,semifinal,Semi-finals,1,France,Belgium,,,Didier Deschamps,Roberto Martínez,France,Belgium,1,0,1-0,0,Saint-Petersburg Stadium ( Gazprom Arena ),Russia,Andrés Cunha
2018,8656,2018-07-11,18:00:00.000,semifinal,Semi-finals,1,Croatia,England,,,Zlatko Dalić,Gareth Southgate,Croatia,England,2,1,2-1,0,Stadion Luzhniki,Russia,Cüneyt Çakιr
2018,8657,2018-07-14,16:00:00.000,third_place,3rd Place Final,1,Belgium,England,,,Roberto Martínez,Gareth Southgate,Belgium,England,2,0,2-0,0,Saint-Petersburg Stadium ( Gazprom Arena ),Russia,Alireza Faghani
2018,8658,2018-07-15,17:00:00.000,final,Final,1,France,Croatia,,,Didier Deschamps,Zlatko Dalić,France,Croatia,4,2,4-2,0,Stadion Luzhniki,Russia,Néstor Fabián Pitana
2022,3857286,2022-11-20,16:00:00.000,group,Group Stage,0,Qatar,Ecuador,A,A,Félix Sánchez,Gustavo Alfaro,Qatar,Ecuador,0,2,0-2,2,Al Bayt Stadium,Qatar,Daniele Orsato
2022,3857271,2022-11-21,13:00:00.000,group,Group Stage,0,England,Iran,B,B,Gareth Southgate,Carlos Queiroz,England,"Iran, Islamic Republic of",6,2,6-2,0,Sheikh Khalifa International Stadium,Qatar,Raphael Claus
2022,3857285,2022-11-21,16:00:00.000,group,Group Stage,0,Senegal,Netherlands,A,A,Aliou Cissé,Louis van Gaal,Senegal,Netherlands,0,2,0-2,2,Al Thumama Stadium,Qatar,Wilton Pereira Sampaio
2022,3857282,2022-11-21,19:00:00.000,group,Group Stage,0,United States,Wales,B,B,Gregg Berhalter,Robert Page,United States of America,Wales,1,1,1-1,1,Ahmad bin Ali Stadium,Qatar,Abdulrahman Ibrahim Al Jassim
2022,3857300,2022-11-22,10:00:00.000,group,Group Stage,0,Argentina,Saudi Arabia,C,C,Lionel Sebastián Scaloni,Hervé Renard,Argentina,Saudi Arabia,1,2,1-2,2,Lusail Stadium,Qatar,Slavko Vinčić
